uname,mid,level,sex,send_time,like,is_sub,text
坦克地板王,330522027,5,保密,2021-04-29 08:29:24,0,True,回复 @极客湾Geekenwan :特斯拉哪个是山地高速公路。它不具备城市路况的自动驾驶能力。所有防撞测试，无法识别20码以上的人形物体。
防盗萌6,133247529,5,男,2021-04-29 12:45:19,0,True,回复 @极客湾Geekenwan :一开口就是特孝子
bili_17935316001,521482530,4,保密,2021-05-13 02:38:52,0,True,回复 @资本家带善银 :是D级，国外最高的论证机构给了D级，其余的都给了B级。
热情的四方,267090114,5,保密,2021-09-15 12:23:20,0,True,华为这套车用十几个激光雷达堆出来的，成本太高了，真的出来了一半人也买不起[笑哭]
腌Q拉黑我,524727552,5,保密,2022-02-05 14:52:42,0,True,回复 @大魔导士比比 :反转了，马斯克已经主动承认特斯拉没有自动驾驶，只有自动辅助驾驶了哈哈哈哈哈，笑死我了
只争朝夕全无敌,1709855382,4,保密,2022-05-07 22:11:29,0,True,回复 @热情的四方 :特斯拉不用激光雷达 都买不起啊
只争朝夕全无敌,1709855382,4,保密,2022-05-07 22:12:14,0,True,回复 @h3al3r :特斯拉 高阶辅助驾驶 的车 卖多少钱？
喜欢边飘荡边吐槽,1062382987,3,保密,2021-04-18 23:44:42,282,False,这尼玛完全是降纬打击啊，特斯拉的辅助驾驶被秒成渣渣了
Angel灬佑,406236587,5,保密,2021-04-21 17:12:06,20,True,这会不会是国家和华为串通好的，和tsl玩对赌协议，我多想好了吧[doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge][doge]
喜欢边飘荡边吐槽,1062382987,3,保密,2021-04-21 17:48:43,0,True,脑洞真大
